pid,label,tag,location,location_short,description,scriptorium,scriptorium_metadata,manifest,thumbnail,full
barnard1_189,Elevation of the Host,The Mass,"New York, Columbia University, Barnard College Library,  MS 1, p. 189","Barnard College Library, MS 1, p. 189","An antiphonal from mid-14th-century Italy, but depicting the Elevation of the Consecrated Host at Mass.",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNBa.5844A_tile.tif/info.json&,"http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Barnard%20College%20Library,%20%20MS%201;docsPerPage=1;startDoc=1;fullview=yes",/img/derivatives/iiif/barnard1_189/manifest.json,"/img/derivatives/iiif/images/barnard1_189/full/250,/0/default.jpg","/img/derivatives/iiif/images/barnard1_189/full/1140,/0/default.jpg"
barnard22v,Sequence for Continents (chaste spouses),Chant Books for the Mass,"New York, Columbia University, Barnard College Library,  MS 3, f. 22v","Barnard College MS 3, f. 22v.",N/A,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNBa.5859A_tile.tif/info.json&,"http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Barnard%20College%20Library,%20%20MS%203;docsPerPage=1;startDoc=1;fullview=yes",/img/derivatives/iiif/barnard22v/manifest.json,"/img/derivatives/iiif/images/barnard22v/full/250,/0/default.jpg","/img/derivatives/iiif/images/barnard22v/full/1140,/0/default.jpg"
barnard40v,Melodies for the Kyrie,Chant Books for the Mass,"New York, Columbia University, Barnard College Library,  MS 3, f. 40v","Barnard College MS 3, f. 40v.",N/A,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNBa.5862A_tile.tif/info.json&,"http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Barnard%20College%20Library,%20%20MS%203;docsPerPage=1;startDoc=1;fullview=yes",/img/derivatives/iiif/barnard40v/manifest.json,"/img/derivatives/iiif/images/barnard40v/full/250,/0/default.jpg","/img/derivatives/iiif/images/barnard40v/full/1140,/0/default.jpg"
barnard42v,"Kyries for Marian Feasts, Preceded by a Trope",Chant Books for the Mass,"New York, Columbia University, Barnard College Library,  MS 3, f. 42v","Barnard College MS 3, f. 42v.",N/A,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNBa.5859A_tile.tif/info.json&,"http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Barnard%20College%20Library,%20%20MS%203;docsPerPage=1;startDoc=1;fullview=yes",/img/derivatives/iiif/barnard42v/manifest.json,"/img/derivatives/iiif/images/barnard42v/full/250,/0/default.jpg","/img/derivatives/iiif/images/barnard42v/full/1140,/0/default.jpg"
barnard49v,Troped Glorias,Chant Books for the Mass,"New York, Columbia University, Barnard College Library,  MS 3, f. 49r","Barnard College MS 3, f. 49r.",N/A,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNBa.5864A_tile.tif/info.json&,"http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Barnard%20College%20Library,%20%20MS%203;docsPerPage=1;startDoc=1;fullview=yes",/img/derivatives/iiif/barnard49v/manifest.json,"/img/derivatives/iiif/images/barnard49v/full/250,/0/default.jpg","/img/derivatives/iiif/images/barnard49v/full/1140,/0/default.jpg"
barnard7v,Introit for the Feast of the Dedication of a Church,Chant Books for the Mass,"New York, Columbia University, Barnard College Library,  MS 3, f. 7v","Barnard College MS 3, f. 7v",A gradual from 16th-century Portugal.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNBa.5856A_tile.tif/info.json&,"http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Barnard%20College%20Library,%20%20MS%203;docsPerPage=1;startDoc=1;fullview=yes",/img/derivatives/iiif/barnard7v/manifest.json,"/img/derivatives/iiif/images/barnard7v/full/250,/0/default.jpg","/img/derivatives/iiif/images/barnard7v/full/1140,/0/default.jpg"
ben_ms3,Rubricated Calendar with Feast Rankings,The Liturgical Year,"New York, Columbia University, Rare Book and Manuscript Library, ÃŠBenjamin MS 3, ff. 4v-5r","Benjamin MS 3, ff. 4v-5","A ferial psalter from 15th-century Germany whose calendar includes, in red ink, the feasts of Dominic 'patris nostri' ranked as 'totum duplex' (5 August) and Sebaldus (19 August) showing that the book was made for the Dominicans of Nurnberg.",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.8524A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Benjamin%20MS%203;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/ben_ms3/manifest.json,"/img/derivatives/iiif/images/ben_ms3/full/250,/0/default.jpg","/img/derivatives/iiif/images/ben_ms3/full/1140,/0/default.jpg"
benjamin2,Processional Chants for the Feast of the Purification,Chant Books for the Mass,"New York, Columbia University, Rare Book and Manuscript Library,  Benjamin MS 2, ff. 6v-7r","Benjamin MS 2, ff. 6v-7r",Processional from a nuns' convent in 15th-century Italy showing the rubrics for the processions on the Feast of the Purification.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.8518A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Benjamin%20MS%202;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/benjamin2/manifest.json,"/img/derivatives/iiif/images/benjamin2/full/250,/0/default.jpg","/img/derivatives/iiif/images/benjamin2/full/1140,/0/default.jpg"
m4885,Introit for the Feast of Saints Peter and Paul,Chant Books for the Mass,"New York, Columbia University, Rare Book and Manuscript Library,  Plimpton MS 040A, f. 1r","Plimpton MS 040A, f. 1r",A gradual from 15th-century Italy with an image of the canons of S. Giorgio in Alga kneeling before Sts. Peter and Paul.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.4885A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Plimpton%20MS%20040A;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/m4885/manifest.json,"/img/derivatives/iiif/images/m4885/full/250,/0/default.jpg","/img/derivatives/iiif/images/m4885/full/1140,/0/default.jpg"
med_ren5,Foliation in the Right Margin,Common versus Proper,"New York, Columbia University, Rare Book and Manuscript Library,  Med/Ren Frag. 005, f. 1r","Med/Ren Frag. 005, f. 1r",A missal from 15th-century Italy foliated 'lxxx' in the upper right margin.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.4333A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Med/Ren%20Frag.%20005;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/med_ren5/manifest.json,"/img/derivatives/iiif/images/med_ren5/full/250,/0/default.jpg","/img/derivatives/iiif/images/med_ren5/full/1140,/0/default.jpg"
